t; tip_pos; V_tip
0;155;1.22806
0.4;155.491;1.11027
0.8;155.888;0.948006
1.2;156.25;0.813414
1.6;156.539;0.730279
2;156.834;0.748157
2.4;157.137;0.692757
2.8;157.388;0.611903
3.2;157.627;0.614812
3.6;157.88;0.636708
4;158.136;0.594881
4.4;158.356;0.535669
4.8;158.565;0.530736
5.2;158.78;0.56091
5.6;159.014;0.552686
6;159.223;0.500312
6.4;159.414;0.473706
6.8;159.602;0.477766
7.2;159.796;0.505495
7.6;160.006;0.501081
8;160.197;0.458472
8.4;160.373;0.433085
8.8;160.543;0.430807
9.2;160.717;0.447465
9.6;160.901;0.46573
10;161.09;0.446722
10.4;161.259;0.410436
10.8;161.418;0.395996
11.2;161.576;0.398003
11.6;161.737;0.414211
12;161.907;0.43108
12.4;162.082;0.415418
12.8;162.239;0.383471
13.2;162.388;0.368914
13.6;162.534;0.367684
14;162.682;0.378129
14.4;162.837;0.399222
14.8;163.002;0.398534
15.2;163.156;0.371546
15.6;163.299;0.351529
16;163.437;0.343329
16.4;163.574;0.345414
16.8;163.713;0.356825
17.2;163.859;0.375923
17.6;164.014;0.373752
18;164.158;0.348971
18.4;164.293;0.331269
18.8;164.423;0.323336
19.2;164.552;0.324032
19.6;164.682;0.332626
20;164.818;0.348761
20.4;164.961;0.356606
20.8;165.103;0.340777
21.2;165.234;0.319484
21.6;165.359;0.308444
22;165.481;0.305093
22.4;165.603;0.308738
22.8;165.728;0.318967
23.2;165.858;0.335636
23.6;165.996;0.337138
24;166.128;0.318324
24.4;166.251;0.301651
24.8;166.369;0.292469
25.2;166.485;0.289806
25.6;166.601;0.293146
26;166.719;0.302188
26.4;166.843;0.316831
26.8;166.973;0.32271
27.2;167.101;0.308747
27.6;167.22;0.291037
28;167.334;0.2809
28.4;167.445;0.276581
28.8;167.555;0.277619
29.2;167.667;0.283724
29.6;167.782;0.294765
30;167.903;0.308428
30.4;168.029;0.305454
30.8;168.147;0.287633
31.2;168.259;0.274625
31.6;168.367;0.267056
32;168.472;0.264456
32.4;168.578;0.266496
32.8;168.686;0.272981
33.2;168.797;0.283839
33.6;168.913;0.296341
34;169.034;0.292901
34.4;169.147;0.276165
34.8;169.255;0.264063
35.2;169.358;0.256782
35.6;169.46;0.253932
36;169.561;0.255236
36.4;169.664;0.260525
36.8;169.77;0.26973
37.2;169.88;0.28288
37.6;169.996;0.284865
38;170.108;0.271422
38.4;170.213;0.258231
38.8;170.314;0.249688
39.2;170.413;0.245237
39.6;170.511;0.244609
40;170.609;0.247626
40.4;170.709;0.25419
40.8;170.812;0.26429
41.2;170.92;0.275485
41.6;171.032;0.272557
42;171.138;0.257855
42.4;171.239;0.246865
42.8;171.336;0.239792
43.2;171.431;0.236347
43.6;171.525;0.23632
44;171.62;0.239575
44.4;171.716;0.246045
44.8;171.816;0.255731
45.2;171.921;0.266526
45.6;172.03;0.264087
46;172.132;0.250279
46.4;172.23;0.239691
46.8;172.324;0.232676
47.2;172.416;0.228982
47.6;172.507;0.228421
48;172.599;0.23087
48.4;172.692;0.236261
48.8;172.788;0.244588
49.2;172.888;0.255898
49.6;172.993;0.258525
50;173.094;0.247874
50.4;173.191;0.236201
50.8;173.283;0.228208
51.2;173.373;0.223338
51.6;173.462;0.221406
52;173.551;0.222281
52.4;173.64;0.225882
52.8;173.731;0.232179
53.2;173.826;0.241189
53.6;173.924;0.251181
54;174.027;0.249312
54.4;174.124;0.23695
54.8;174.216;0.227139
55.2;174.305;0.220352
55.6;174.392;0.216389
56;174.478;0.2151
56.4;174.564;0.216381
56.8;174.652;0.220172
57.2;174.741;0.226455
57.6;174.833;0.235254
58;174.929;0.244699
58.4;175.028;0.242656
58.8;175.123;0.230794
59.2;175.213;0.221424
59.6;175.3;0.214852
60;175.385;0.210899
60.4;175.469;0.209431
60.8;175.553;0.210353
61.2;175.637;0.21361
61.6;175.723;0.219181
62;175.812;0.227085
62.4;175.905;0.237271
62.8;176.002;0.238413
63.2;176.096;0.228334
63.6;176.185;0.218563
64;176.271;0.211448
64.4;176.354;0.206816
64.8;176.436;0.204536
65.2;176.518;0.204511
65.6;176.6;0.20668
66;176.683;0.211011
66.4;176.769;0.21751
66.8;176.857;0.22621
67.2;176.95;0.233721
67.6;177.044;0.229928
68;177.133;0.218768
68.4;177.219;0.210488
68.8;177.302;0.204616
69.2;177.383;0.201012
69.6;177.463;0.199572
70;177.542;0.200219
70.4;177.623;0.202908
70.8;177.705;0.207623
71.2;177.789;0.214376
71.6;177.876;0.223208
72;177.968;0.228841
72.4;178.059;0.223317
72.8;178.146;0.212722
73.2;178.229;0.205113
73.6;178.31;0.199741
74;178.389;0.196486
74.4;178.467;0.195254
74.8;178.545;0.19598
75.2;178.624;0.198626
75.6;178.704;0.203179
76;178.787;0.209652
76.4;178.872;0.218084
76.8;178.961;0.224257
77.2;179.052;0.219714
77.6;179.137;0.209379
78;179.219;0.20181
78.4;179.298;0.196364
78.8;179.376;0.192926
79.2;179.453;0.191407
79.6;179.529;0.191746
80;179.606;0.193902
80.4;179.684;0.197861
80.8;179.764;0.20363
81.2;179.847;0.211239
81.6;179.933;0.219392
82;180.023;0.218165
82.4;180.108;0.208506
82.8;180.19;0.200466
83.2;180.268;0.194477
83.6;180.345;0.190424
84;180.421;0.188217
84.4;180.496;0.187791
84.8;180.571;0.1891
85.2;180.647;0.192122
85.6;180.725;0.196854
86;180.804;0.203317
86.4;180.887;0.21155
86.8;180.974;0.216235
87.2;181.06;0.210807
87.6;181.142;0.201304
88;181.221;0.194369
88.4;181.298;0.189333
88.8;181.373;0.186099
89.2;181.447;0.184593
89.6;181.52;0.184762
90;181.595;0.186572
90.4;181.67;0.190008
90.8;181.747;0.195077
91.2;181.826;0.201802
91.6;181.908;0.210229
92;181.994;0.21235
92.4;182.078;0.205
92.8;182.158;0.196538
93.2;182.235;0.190183
93.6;182.31;0.185617
94;182.384;0.182755
94.4;182.456;0.181532
94.8;182.529;0.181901
95.2;182.602;0.183833
95.6;182.676;0.187318
