time,total_energy
4.000000000000000083e-02,-5.079089943117493249e+02
8.000000000000000167e-02,-5.213052274971987572e+02
1.199999999999999956e-01,-5.300867722719498261e+02
1.600000000000000033e-01,-5.364763154001632302e+02
2.000000000000000111e-01,-5.415522490401259574e+02
2.400000000000000189e-01,-5.458714155880049930e+02
2.800000000000000266e-01,-5.497373505074878040e+02
3.200000000000000067e-01,-5.533232072595100135e+02
3.599999999999999867e-01,-5.567313228959926619e+02
3.999999999999999667e-01,-5.600236750258003440e+02
4.399999999999999467e-01,-5.632383163912138571e+02
4.799999999999999267e-01,-5.663987383770563611e+02
5.199999999999999067e-01,-5.695194962560672138e+02
5.599999999999999423e-01,-5.726097516817633277e+02
5.999999999999999778e-01,-5.756755819394686569e+02
6.400000000000000133e-01,-5.787215066649966957e+02
6.800000000000000488e-01,-5.817514814476314768e+02
7.200000000000000844e-01,-5.847695051882795951e+02
7.600000000000001199e-01,-5.877799357866261971e+02
8.000000000000001554e-01,-5.907875819987956447e+02
8.400000000000001910e-01,-5.937976253557116024e+02
8.800000000000002265e-01,-5.968154183337460381e+02
9.200000000000002620e-01,-5.998462003626639216e+02
9.600000000000002975e-01,-6.028947703088057324e+02
1.000000000000000222e+00,-6.059651520772877120e+02
1.040000000000000258e+00,-6.090602883441322319e+02
1.080000000000000293e+00,-6.121817953732102069e+02
1.120000000000000329e+00,-6.153298083796496485e+02
1.160000000000000364e+00,-6.185029409215060241e+02
1.200000000000000400e+00,-6.216983726076791754e+02
1.240000000000000435e+00,-6.249120669894886078e+02
1.280000000000000471e+00,-6.281391068326495315e+02
1.320000000000000506e+00,-6.313741189961000373e+02
1.360000000000000542e+00,-6.346117484358992442e+02
1.400000000000000577e+00,-6.378471329183001899e+02
1.440000000000000613e+00,-6.410763285908910802e+02
1.480000000000000648e+00,-6.442966420218116355e+02
1.520000000000000684e+00,-6.475068356177775968e+02
1.560000000000000719e+00,-6.507071883048670315e+02
1.600000000000000755e+00,-6.538994093814790176e+02
1.640000000000000790e+00,-6.570864181796931689e+02
1.680000000000000826e+00,-6.602720140253825321e+02
1.720000000000000862e+00,-6.634604693409269203e+02
1.760000000000000897e+00,-6.666560837229636718e+02
1.800000000000000933e+00,-6.698627389603980191e+02
1.840000000000000968e+00,-6.730834946942890156e+02
1.880000000000001004e+00,-6.763202618776355166e+02
1.920000000000001039e+00,-6.795735860919336346e+02
1.960000000000001075e+00,-6.828425646492659098e+02
2.000000000000000888e+00,-6.861249099863428000e+02
2.040000000000000924e+00,-6.894171575059419865e+02
2.080000000000000959e+00,-6.927150000244178045e+02
2.120000000000000995e+00,-6.960137155060964460e+02
2.160000000000001030e+00,-6.993086424412883844e+02
2.200000000000001066e+00,-7.025956504691995406e+02
2.240000000000001101e+00,-7.058715541228988286e+02
2.280000000000001137e+00,-7.091344249176610219e+02
2.320000000000001172e+00,-7.123837699995219737e+02
2.360000000000001208e+00,-7.156205617887998187e+02
2.400000000000001243e+00,-7.188471197688538723e+02
2.440000000000001279e+00,-7.220668604762199720e+02
2.480000000000001315e+00,-7.252839434106491581e+02
2.520000000000001350e+00,-7.285028485249304140e+02
2.560000000000001386e+00,-7.317279254052151600e+02
2.600000000000001421e+00,-7.349629557268415283e+02
2.640000000000001457e+00,-7.382107694570012200e+02
2.680000000000001492e+00,-7.414729516039309374e+02
2.720000000000001528e+00,-7.447496697757710535e+02
2.760000000000001563e+00,-7.480396430469700135e+02
2.800000000000001599e+00,-7.513402596285969821e+02
2.840000000000001634e+00,-7.546478353519454458e+02
2.880000000000001670e+00,-7.579579886774102988e+02
2.920000000000001705e+00,-7.612660932586840090e+02
2.960000000000001741e+00,-7.645677586558653047e+02
3.000000000000001776e+00,-7.678592857042934838e+02
3.040000000000001812e+00,-7.711380462263192612e+02
3.080000000000001847e+00,-7.744027466437978546e+02
3.120000000000001883e+00,-7.776535497102960335e+02
3.160000000000001918e+00,-7.808920453885733650e+02
3.200000000000001954e+00,-7.841210782132279746e+02
3.240000000000001990e+00,-7.873444522985480489e+02
3.280000000000002025e+00,-7.905665454271174895e+02
3.320000000000002061e+00,-7.937918702222668799e+02
3.360000000000002096e+00,-7.970246236521264791e+02
3.400000000000002132e+00,-8.002682665295642437e+02
3.440000000000002167e+00,-8.035251725135527749e+02
3.480000000000002203e+00,-8.067963812614526660e+02
3.520000000000002238e+00,-8.100814824667650100e+02
3.560000000000002274e+00,-8.133786462907254418e+02
3.600000000000002309e+00,-8.166848014473092690e+02
3.640000000000002345e+00,-8.199959460767088331e+02
3.680000000000002380e+00,-8.233075605822757552e+02
3.720000000000002416e+00,-8.266150783993182358e+02
3.760000000000002451e+00,-8.299143627023140652e+02
3.800000000000002487e+00,-8.332021359998344678e+02
3.840000000000002522e+00,-8.364763157065867745e+02
3.880000000000002558e+00,-8.397362209383439904e+02
3.920000000000002593e+00,-8.429826316549269904e+02
3.960000000000002629e+00,-8.462176981547952437e+02
4.000000000000002665e+00,-8.494447143789176380e+02
4.040000000000002700e+00,-8.526677808962405152e+02
4.080000000000002736e+00,-8.558913921658191839e+02
4.120000000000002771e+00,-8.591199878126927842e+02
4.160000000000002807e+00,-8.623575096905308328e+02
4.200000000000002842e+00,-8.656070058498903563e+02
4.240000000000002878e+00,-8.688703192786057343e+02
4.280000000000002913e+00,-8.721478931753681536e+02
4.320000000000002949e+00,-8.754387151982411979e+02
4.360000000000002984e+00,-8.787404105298622881e+02
4.400000000000003020e+00,-8.820494783544420443e+02
4.440000000000003055e+00,-8.853616499943706231e+02
4.480000000000003091e+00,-8.886723318399532445e+02
4.520000000000003126e+00,-8.919770849562831927e+02
