t,Energy,DissipationProxy,DeltaIntU,HalfDeltaIntPhi,misfit
0.0,15606.452486683009,nan,0.0,0.0,0.0
0.04,15601.787295565511,-39.42333186142196,0.2478942629204539,0.2478942644011113,-1.4806573744863272e-09
0.08,15598.772009129194,-33.91428775216056,0.5151261572063959,0.5151261587998306,-1.5934347175061703e-09
0.12,15596.68269234137,-30.13737325988831,0.8025235902532586,0.802523591901263,-1.648004399612546e-09
0.16,15595.138287954263,-27.41556360258024,1.1087480541027617,1.1087480556780065,-1.5752448234707117e-09
0.2,15593.929182317468,-25.38059724462868,1.4319437672602362,1.43194376899919,-1.7389538697898388e-09
0.24000000000000002,15592.93510607129,-23.817932970115944,1.7703043672372587,1.7703043688525213,-1.6152625903487206e-09
0.28,15592.084139834697,-22.59449331405283,2.1222357728947827,2.122235774542787,-1.648004399612546e-09
0.32,15591.331518204606,-21.623162259989545,2.486374957541557,2.4863749591459054,-1.6043486539274454e-09
0.36,15590.648304572385,-20.844337256126366,2.8615635635760555,2.8615635652859055,-1.709850039333105e-09
0.39999999999999997,15590.015139614012,-20.215776212625617,3.24681259837962,3.246812600042176,-1.6625563148409128e-09
0.43999999999999995,15589.418674529392,-19.706687381961864,3.6412701454792114,3.6412701471308537,-1.6516423784196377e-09
0.4799999999999999,15588.849466420448,-19.294106847129143,4.044194949969096,4.044194951526151,-1.5570549294352531e-09
0.5199999999999999,15588.300693601543,-18.960576390998664,4.45493565122888,4.454935652913264,-1.684384187683463e-09
0.5599999999999999,15587.76734474383,-18.69259868668467,4.872914622566896,4.872914624265832,-1.69893610291183e-09
0.6,15587.245690409665,-18.47957857634969,5.2976153602066915,5.297615361898352,-1.6916601452976465e-09
0.64,15586.732928180498,-18.313080200785638,5.7285725627079955,5.72857256428324,-1.5752448234707117e-09
0.68,15586.226937794449,-18.18629589202278,6.165364256794419,6.165364258558839,-1.7644197214394808e-09
0.7200000000000001,15585.72610805397,-18.093660640939564,6.607605505105312,6.607605506829714,-1.724401954561472e-09
0.7600000000000001,15585.229211838983,-18.03056865641153,7.0549433534251875,7.054943355098658,-1.673470251262188e-09
0.8000000000000002,15584.735314166632,-17.993162688296398,7.5070527722200495,7.507052773828036,-1.6079866327345371e-09
0.8400000000000002,15584.243703458942,-17.97817591590864,7.963633397685044,7.963633399358514,-1.673470251262188e-09
0.8800000000000002,15583.753839440204,-17.98281225527256,8.42440692809032,8.424406929687393,-1.597072696313262e-09
0.9200000000000003,15583.265313164364,-18.004655038126817,8.889115052221314,8.889115053971182,-1.749867806211114e-09
0.9600000000000003,15582.777816038584,-18.041596841093483,9.35751781523868,9.357517816915788,-1.6771082300692797e-09
1.0000000000000002,15582.291115621485,-18.091785217716758,9.829392334144359,9.829392335872399,-1.7280399333685637e-09
1.0400000000000003,15581.80503660069,-18.153580481580548,10.304531795827643,10.304531797493837,-1.6661942936480045e-09
1.0800000000000003,15581.319445778738,-18.225522685124986,10.78274467373194,10.782744675252616,-1.520675141364336e-09
1.1200000000000003,15580.834240210903,-18.30630565692704,11.263854113367415,11.263854115095455,-1.7280399333685637e-09
1.1600000000000004,15580.349337843625,-18.394756482573648,11.747697440390766,11.747697442100616,-1.709850039333105e-09
1.2000000000000004,15579.864670165109,-18.48981919776258,12.234125752529508,12.23412575416296,-1.6334524843841791e-09
1.2400000000000004,15579.380176488283,-18.59054174659012,12.723003565435647,12.723003567047272,-1.6116246115416288e-09
1.2800000000000005,15578.895799569933,-18.69606547093989,13.214208484059782,13.21420848575508,-1.6952981241047382e-09
1.3200000000000005,15578.411482329224,-18.8056165581299,13.707630879434873,13.707630881181103,-1.7462298274040222e-09
1.3600000000000005,15577.927165475448,-18.918498997422024,14.203173551759392,14.20317355363295,-1.873559085652232e-09
1.4000000000000006,15577.442785887817,-19.034088691591922,14.700751369859063,14.70075137162712,-1.7680577002465725e-09
1.4400000000000006,15576.958275617708,-19.151828444582534,15.200290874472557,15.200290876018698,-1.546140993013978e-09
1.4800000000000006,15576.473561399822,-19.271223605447602,15.701729840431653,15.701729842228815,-1.7971615307033062e-09
1.5200000000000007,15575.988564582012,-19.39183819600478,16.205016796651762,16.205016798325232,-1.673470251262188e-09
1.5600000000000007,15575.503201389289,-19.51329138756047,16.710110496689595,16.710110498239374,-1.5497789718210697e-09
1.6000000000000008,15575.017383452874,-19.63525422271468,17.2169793477442,17.216979349286703,-1.5425030142068863e-09
1.6400000000000008,15574.531018544312,-19.75744650307397,17.725600795314676,17.725600796919025,-1.6043486539274454e-09
1.6800000000000008,15574.044011459662,-19.879633783821106,18.235960670928762,18.23596067244216,-1.5133991837501526e-09
1.7200000000000009,15573.556265009078,-20.00162443236475,18.748052504426596,18.748052505943633,-1.5170371625572443e-09
1.760000000000001,15573.06768107237,-20.123266721415337,19.26187680935982,19.261876811026013,-1.6661942936480045e-09
1.800000000000001,15572.57816168607,-20.244445937355255,19.777440347541415,19.777440349091194,-1.5497789718210697e-09
1.840000000000001,15572.087610131015,-20.36508149314494,20.294755375638488,20.29475537725375,-1.6152625903487206e-09
1.880000000000001,15571.595931999589,-20.485124041615247,20.81383888686105,20.81383888853088,-1.6698322724550962e-09
1.920000000000001,15571.103036218265,-20.604552590162378,21.33471184873997,21.334711850438907,-1.69893610291183e-09
1.960000000000001,15570.608836009143,-20.72337162185084,21.857398447977175,21.8573984495888,-1.6116246115416288e-09
2.000000000000001,15570.11324977649,-20.841608230970493,22.381925346300704,22.38192534794871,-1.648004399612546e-09
2.040000000000001,15569.616201908093,-20.95930928337388,22.90832095623773,22.908320957725664,-1.4879333321005106e-09
2.080000000000001,15569.117623478602,-21.07653861359311,23.436614740581717,23.436614742164238,-1.5825207810848951e-09
2.120000000000001,15568.617452851548,-21.193374271915722,23.96683654406661,23.96683654566732,-1.6007106751203537e-09
2.160000000000001,15568.115636173929,-21.30990583538976,24.499015958994278,24.499015960569523,-1.5752448234707117e-09
2.200000000000001,15567.612127758834,-21.426231797189754,25.033181733881065,25.03318173552543,-1.6443664208054543e-09
2.240000000000001,15567.106890357565,-21.54245704895611,25.56936122618208,25.56936122776824,-1.5861587598919868e-09
2.280000000000001,15566.599895316782,-21.658690470653728,26.1075799038299,26.107579905528837,-1.69893610291183e-09
2.320000000000001,15566.091122627178,-21.77504264219659,26.64786090054622,26.64786090215057,-1.6043486539274454e-09
2.360000000000001,15565.580560862958,-21.891623690560255,27.190224623886024,27.190224625392148,-1.5061232261359692e-09
2.4000000000000012,15565.068207016118,-22.008541285355378,27.734688421671308,27.734688423366606,-1.6952981241047382e-09
2.4400000000000013,15564.554066234243,-22.125898794865606,28.281266306014004,28.281266307611077,-1.597072696313262e-09
2.4800000000000013,15564.038151463255,-22.24379361335545,28.82996873464799,28.829968736248702,-1.6007106751203537e-09
2.5200000000000014,15563.520483007533,-22.36231566904082,29.38080245229503,29.380802453873912,-1.5788828022778034e-09
2.5600000000000014,15563.001088012637,-22.48154612048261,29.933770388561243,29.93377039016923,-1.6079866327345371e-09
2.6000000000000014,15562.479999880545,-22.601556247345602,30.488871612113144,30.488871613750234,-1.6370904631912708e-09
2.6400000000000015,15561.957257629541,-22.72240653946286,31.046101339339657,31.04610134095128,-1.6116246115416288e-09
2.6800000000000015,15561.4329052059,-22.844145986008986,31.60545099371302,31.605450995197316,-1.4842953532934189e-09
2.7200000000000015,15560.906990763142,-22.96681156434296,32.16690831372398,32.166908315368346,-1.6443664208054543e-09
2.7600000000000016,15560.379565914576,-23.09042792577713,32.73045750557503,32.730457507241226,-1.6661942936480045e-09
2.8000000000000016,15559.850684974279,-23.21500727321682,33.296079435960564,33.29607943749579,-1.5352270565927029e-09
2.8400000000000016,15559.320404199174,-23.340549423345774,33.863751860451885,33.86375186191435,-1.4624674804508686e-09
2.8800000000000017,15558.788781036017,-23.467042043856907,34.4334496839474,34.43344968551537,-1.5679688658565283e-09
2.9200000000000017,15558.255873390894,-23.59446105420253,35.00514524755272,35.00514524917526,-1.622538547962904e-09
2.9600000000000017,15557.721738927195,-23.722771176508612,35.5788086356697,35.578808637284965,-1.6152625903487206e-09
3.0000000000000018,15557.186434401023,-23.851926621709268,36.154408000638796,36.15440800215947,-1.520675141364336e-09
3.040000000000002,15556.650015040834,-23.981871894645685,36.73190989802606,36.7319098996486,-1.622538547962904e-09
3.080000000000002,15556.112533979838,-24.112542700868836,37.31127962884784,37.311279630426725,-1.5788828022778034e-09
3.120000000000002,15555.574041744143,-24.243866937200554,37.89248158320697,37.892481584603956,-1.3969838619232178e-09
3.160000000000002,15555.034585803096,-24.37576574776224,38.47547958106952,38.475479582593834,-1.5243131201714277e-09
3.200000000000002,15554.49421018082,-24.50815462715946,39.060237207067985,39.060237208559556,-1.4915713109076023e-09
3.240000000000002,15553.952955135444,-24.6409445528159,39.646718133390095,39.6467181348271,-1.4370016288012266e-09
3.280000000000002,15553.41085690241,-24.774043129054515,40.234886429807375,40.23488643118981,-1.382431946694851e-09
3.320000000000002,15552.867947503732,-24.90735572640328,40.82470685524095,40.82470685674343,-1.5024852473288774e-09
3.360000000000002,15552.324254619403,-25.040786600718747,41.416145131675876,41.416145133207465,-1.5315890777856112e-09
3.400000000000002,15551.7798015213,-25.17423997804206,42.00916819316262,42.009168194796075,-1.6334524843841791e-09
3.440000000000002,15551.234607063938,-25.30762109258044,42.60374441394015,42.603744415479014,-1.5388650353997946e-09
3.480000000000002,15550.688685729148,-25.440837166798175,43.19984380930691,43.19984381087852,-1.57160684466362e-09
3.5200000000000022,15550.142047720292,-25.573798324267752,43.79743821197917,43.797438213408896,-1.4297256711870432e-09
3.5600000000000023,15549.594699102992,-25.7064184276206,44.39650142037135,44.39650142185201,-1.4806573744863272e-09
