t; tip_pos; V_tip
88.4;149.129;0.124888
88.8;149.178;0.121686
89.2;149.226;0.118934
89.6;149.273;0.116613
90;149.319;0.114708
90.4;149.365;0.113205
90.8;149.41;0.112094
91.2;149.454;0.111366
91.6;149.499;0.111012
92;149.543;0.111029
92.4;149.588;0.111413
92.8;149.632;0.112163
93.2;149.677;0.11328
93.6;149.723;0.114765
94;149.769;0.116623
94.4;149.816;0.118858
94.8;149.864;0.121479
95.2;149.913;0.124491
95.6;149.964;0.127273
96;150.015;0.126466
96.4;150.065;0.122828
96.8;150.114;0.119737
97.2;150.161;0.117069
97.6;150.207;0.114805
98;150.253;0.11293
98.4;150.298;0.111429
98.8;150.342;0.110292
99.2;150.386;0.109507
99.6;150.429;0.109069
100;150.473;0.108969
100.4;150.517;0.109205
100.8;150.56;0.109772
101.2;150.604;0.110672
101.6;150.649;0.111902
102;150.694;0.113466
102.4;150.74;0.115366
102.8;150.786;0.117606
103.2;150.834;0.120192
103.6;150.882;0.123132
104;150.932;0.126434
104.4;150.984;0.128068
104.8;151.035;0.125855
105.2;151.084;0.122174
105.6;151.132;0.119222
106;151.18;0.116664
106.4;151.226;0.114487
106.8;151.271;0.112681
107.2;151.316;0.111236
107.6;151.36;0.110143
108;151.404;0.109395
108.4;151.448;0.108986
108.8;151.491;0.108911
109.2;151.535;0.109167
109.6;151.579;0.109751
110;151.623;0.110663
110.4;151.667;0.111901
110.8;151.712;0.113468
111.2;151.758;0.115366
111.6;151.804;0.117598
112;151.852;0.12017
112.4;151.901;0.123087
112.8;151.95;0.126304
113.2;152.002;0.126276
113.6;152.051;0.122874
114;152.1;0.119668
114.4;152.147;0.116859
114.8;152.193;0.114433
115.2;152.239;0.112376
115.6;152.283;0.110676
116;152.327;0.109324
116.4;152.371;0.108311
116.8;152.414;0.107629
117.2;152.457;0.107273
117.6;152.5;0.107236
118;152.543;0.107516
118.4;152.586;0.10811
118.8;152.629;0.109016
119.2;152.673;0.110234
119.6;152.717;0.111765
120;152.762;0.113611
120.4;152.808;0.115775
120.8;152.855;0.118263
121.2;152.903;0.12108
121.6;152.952;0.124158
122;153.002;0.124048
122.4;153.051;0.1207
122.8;153.099;0.117595
123.2;153.145;0.114868
123.6;153.191;0.112504
124;153.235;0.110491
124.4;153.279;0.108818
124.8;153.322;0.107476
125.2;153.365;0.106456
125.6;153.407;0.105751
126;153.45;0.105355
126.4;153.492;0.105263
126.8;153.534;0.10547
127.2;153.576;0.105975
127.6;153.619;0.106775
128;153.661;0.107871
128.4;153.705;0.109262
